 ==================================================================
              Calculation using SRIM-2003 
              SRIM version ---> SRIM-2003.26
              Calc. date   ---> December 22, 2004 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in He- C- F

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  1.8530E-03 g/cm3 = 1.0754E+20 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    053.12    020.49   
      C      6    009.38    010.86   
      F      9    037.50    068.65   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.385E-01  5.454E-03  262.91 um   107.76 um   101.83 um  
  11.00 keV   2.588E-01  5.113E-03  280.52 um   110.32 um   105.27 um  
  12.00 keV   2.777E-01  4.816E-03  297.17 um   112.52 um   108.32 um  
  13.00 keV   2.950E-01  4.556E-03  313.04 um   114.43 um   111.06 um  
  14.00 keV   3.105E-01  4.326E-03  328.26 um   116.13 um   113.54 um  
  15.00 keV   3.242E-01  4.120E-03  342.97 um   117.65 um   115.81 um  
  16.00 keV   3.361E-01  3.936E-03  357.25 um   119.02 um   117.91 um  
  17.00 keV   3.465E-01  3.769E-03  371.19 um   120.28 um   119.87 um  
  18.00 keV   3.555E-01  3.617E-03  384.86 um   121.43 um   121.72 um  
  20.00 keV   3.707E-01  3.352E-03  411.57 um   123.53 um   125.11 um  
  22.50 keV   3.867E-01  3.075E-03  443.98 um   125.82 um   128.93 um  
  25.00 keV   4.017E-01  2.845E-03  475.45 um   127.81 um   132.37 um  
  27.50 keV   4.166E-01  2.650E-03  506.05 um   129.57 um   135.50 um  
  30.00 keV   4.315E-01  2.482E-03  535.78 um   131.13 um   138.37 um  
  32.50 keV   4.464E-01  2.337E-03  564.68 um   132.54 um   141.02 um  
  35.00 keV   4.609E-01  2.209E-03  592.78 um   133.80 um   143.47 um  
