 ==================================================================
              Calculation using SRIM-2003 
              SRIM version ---> SRIM-2003.26
              Calc. date   ---> October 24, 2005 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in He- C- F

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.9000E-03 g/cm3 = 1.1026E+20 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    053.12    020.49   
      C      6    009.38    010.86   
      F      9    037.50    068.65   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.629E-01  6.037E-02  128.41 um    52.40 um    46.05 um  
  11.00 keV   2.760E-01  5.715E-02  140.80 um    55.57 um    49.42 um  
  12.00 keV   2.885E-01  5.431E-02  153.00 um    58.53 um    52.63 um  
  13.00 keV   3.006E-01  5.178E-02  165.02 um    61.30 um    55.69 um  
  14.00 keV   3.123E-01  4.952E-02  176.86 um    63.90 um    58.62 um  
  15.00 keV   3.236E-01  4.747E-02  188.51 um    66.34 um    61.42 um  
  16.00 keV   3.345E-01  4.560E-02  200.00 um    68.64 um    64.10 um  
  17.00 keV   3.452E-01  4.390E-02  211.31 um    70.82 um    66.68 um  
  18.00 keV   3.555E-01  4.234E-02  222.46 um    72.88 um    69.16 um  
  20.00 keV   3.755E-01  3.958E-02  244.28 um    76.70 um    73.84 um  
  22.50 keV   3.992E-01  3.665E-02  270.72 um    80.97 um    79.23 um  
  25.00 keV   4.216E-01  3.417E-02  296.29 um    84.78 um    84.17 um  
  27.50 keV   4.431E-01  3.205E-02  321.06 um    88.20 um    88.73 um  
  30.00 keV   4.636E-01  3.021E-02  345.09 um    91.29 um    92.96 um  
  32.50 keV   4.833E-01  2.860E-02  368.44 um    94.10 um    96.90 um  
  35.00 keV   5.022E-01  2.716E-02  391.16 um    96.67 um   100.58 um  
