 ==================================================================
              Calculation using SRIM-2003 
              SRIM version ---> SRIM-2003.26
              Calc. date   ---> December 22, 2004 
 ==================================================================

 Disk File Name = SRIM Outputs\tritium in He- C- F

 Ion = Hydrogen [1] , Mass = 3 amu

 Target Density =  1.8530E-03 g/cm3 = 1.0754E+20 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    053.12    020.49   
      C      6    009.38    010.86   
      F      9    037.50    068.65   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.393E-02  1.553E-02  386.53 um   159.81 um   149.01 um  
  11.00 keV   1.009E-01  1.458E-02  423.15 um   168.66 um   159.25 um  
  12.00 keV   1.080E-01  1.375E-02  458.50 um   176.63 um   168.71 um  
  13.00 keV   1.151E-01  1.302E-02  492.63 um   183.83 um   177.46 um  
  14.00 keV   1.223E-01  1.238E-02  525.55 um   190.34 um   185.56 um  
  15.00 keV   1.295E-01  1.180E-02  557.32 um   196.24 um   193.07 um  
  16.00 keV   1.367E-01  1.128E-02  587.99 um   201.61 um   200.05 um  
  17.00 keV   1.440E-01  1.081E-02  617.60 um   206.51 um   206.54 um  
  18.00 keV   1.513E-01  1.038E-02  646.22 um   210.98 um   212.59 um  
  20.00 keV   1.661E-01  9.631E-03  700.63 um   218.87 um   223.52 um  
  22.50 keV   1.845E-01  8.847E-03  763.89 um   227.09 um   235.33 um  
  25.00 keV   2.028E-01  8.194E-03  822.53 um   233.89 um   245.46 um  
  27.50 keV   2.209E-01  7.639E-03  877.18 um   239.57 um   254.25 um  
  30.00 keV   2.385E-01  7.162E-03  928.40 um   244.40 um   261.94 um  
  32.50 keV   2.555E-01  6.747E-03  976.68 um   248.54 um   268.75 um  
  35.00 keV   2.715E-01  6.382E-03    1.02 mm   252.14 um   274.82 um  
